   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    delta0    pairing    Equad     Eoct     beta2
  11  24 Na  1.5   6.875  9.500E+04  3.000E+04   8   1.886   16   3.589  -0.67667   0.24256   2.44909   0.190   2.44949  -2.24362   4.76086   7.32440   0.328
  12  25 Mg  0.0   7.331  4.700E+05  1.400E+05   7   2.801   16   4.722  -1.35233   0.23928   1.98754   0.145   2.40000  -0.27018   4.76836   7.33593   0.333
  12  26 Mg  2.5  11.093  4.300E+04  1.700E+04   7   4.350   25   7.242  -0.54881   0.23617   1.73122   0.205   2.35339  -0.57168   4.42438   6.80674  -0.310
  12  27 Mg  0.0   6.443  2.600E+05  5.000E+04   8   3.562   29   5.909  -0.50603   0.23322   2.70146   0.135   2.30940  -1.41156   4.27799   6.58153   0.000
  13  28 Al  2.5   7.725  4.500E+04  1.500E+04   6   1.623   20   3.591  -1.98058   0.23041   2.75312   0.185   2.26779  -1.53199   4.48991   6.90755  -0.254
  14  29 Si  0.0   8.395  2.000E+05  6.000E+04   5   3.624   24   6.713  -3.71992   0.22773   3.07177   0.185   2.22834  -1.40983   4.82638   7.42521  -0.300
  14  30 Si  0.5  10.609  3.500E+05  1.600E+05   4   3.788   19   6.915  -2.12810   0.22517   2.03797   0.225   2.19089  -0.95428   4.27404   6.57544   0.000
  15  32 P   0.5   7.936  7.500E+04  2.000E+04   8   2.230   15   3.443  -2.70541   0.22038   3.10637   0.150   2.12132  -2.40173   4.18544   6.43914   0.000
  16  33 S   0.0   8.642  1.500E+05  3.500E+04   2   1.967   25   5.282  -2.39951   0.21813   2.53782   0.115   2.08893  -0.39468   4.00858   6.16704   0.000
  16  34 S   1.5  11.417  2.700E+04  1.000E+04   8   4.877   15   5.756  -1.35992   0.21597   2.28126   0.190   2.05798  -0.81405   3.69201   5.68002   0.000
  16  35 S   0.0   6.986  2.000E+05  7.000E+04   6   3.421   17   4.180  -0.58071   0.21389   2.46502   0.210   2.02837   0.22173   3.45929   5.32198   0.000
  17  36 Cl  1.5   8.580  2.300E+04  6.000E+03   8   2.518   17   3.332  -1.64007   0.21190   2.84961   0.140   2.00000  -1.39853   3.57399   5.49845   0.000
  17  38 Cl  1.5   6.108  1.500E+04  4.000E+03   2   0.755   15   3.254   0.87171   0.20811   3.50068   0.225   1.94666  -1.69254   3.00538   4.62366  -0.018
  18  41 Ar  0.0   6.010  7.020E+04  1.700E+04   7   1.988   15   3.010   3.12748   0.20291   2.85062   0.215   1.87409   0.02908   2.54582   3.91665   0.000
  19  40 K   1.5   7.800  1.500E+04  5.000E+03   8   2.104   19   2.747   0.14772   0.20458   2.98890   0.210   1.89737  -1.07183   2.98310   4.58938  -0.035
  19  42 K   1.5   7.534  1.500E+04  5.000E+03   8   1.111   16   1.400   2.22300   0.20128   2.53726   0.205   1.85164   0.46853   2.59677   3.99503   0.000
  20  41 Ca  0.0   8.363  3.260E+04  4.300E+03   6   2.671   16   3.614  -0.14840   0.20291   3.23063   0.085   1.87409  -0.45618   2.96593   4.56297   0.000
  20  43 Ca  0.0   7.933  2.000E+04  5.000E+03   3   0.990   29   3.030   1.99300   0.19971   2.92888   0.170   1.82998   0.73842   2.57297   3.95842   0.000
  20  44 Ca -3.5  11.131  1.800E+03  3.000E+02   8   3.308   27   4.409   2.15382   0.19819   2.55645   0.110   1.80907   0.26163   2.50583   3.85512   0.000
  20  45 Ca  0.0   7.415  2.410E+04  3.200E+03   8   1.900   23   3.024   2.00908   0.19671   3.02813   0.100   1.78885   0.33018   2.47551   3.80847   0.000
  21  46 Sc -3.5   8.761  1.300E+03  1.000E+02   6   0.444   15   1.121   1.45880   0.19527   3.25441   0.050   1.76930   0.17878   2.49291   3.83524  -0.008
  22  47 Ti  0.0   8.880  2.500E+04  4.400E+03   3   1.252   15   2.406   0.72634   0.19388   2.71730   0.105   1.75038   0.40236   2.53516   3.90025   0.000
  22  48 Ti -2.5  11.627  1.750E+03  2.500E+02   2   2.296   15   3.699   0.66406   0.19252   2.72030   0.085   1.73205   0.51337   2.49858   3.84397   0.000
  22  49 Ti  0.0   8.142  1.830E+04  2.900E+03   8   2.261   16   2.721   0.24363   0.19120   3.32469   0.110   1.71429   0.31278   2.50702   3.85696   0.000
  22  50 Ti -3.5  10.939  4.000E+03  8.000E+02   5   3.868   15   4.576  -0.46146   0.18992   2.94377   0.125   1.69706  -0.75594   2.55413   3.92943   0.000
