 Z=  99 A= 227  Es beta2= 0.01 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.379507E-02  -3.723801E-16  -5.724587E-16  -9.507044E-16  -2.860979E-17   7.402795E-02  -3.878960E-16  -5.828671E-16  -3.752781E-16  -1.187306E-15
   0.100   7.398665E-02  -8.811330E-07  -2.750258E-10  -3.470071E-14   6.580252E-15   7.390122E-02   1.150759E-06   3.449722E-10   5.118793E-14   2.303088E-15
   0.200   7.455341E-02  -3.451155E-06  -4.353945E-09  -1.803486E-12   4.334384E-15   7.352534E-02   4.523426E-06   5.469685E-09   3.344366E-12  -3.004028E-16
   0.300   7.547176E-02  -7.494227E-06  -2.165490E-08  -2.018458E-11  -1.160127E-14   7.291319E-02   9.883231E-06   2.727216E-08   3.780253E-11   3.516143E-14
   0.400   7.670358E-02  -1.266478E-05  -6.675823E-08  -1.114424E-10  -1.243382E-13   7.208571E-02   1.685236E-05   8.436203E-08   2.098097E-10   3.034927E-13
   0.500   7.819804E-02  -1.850831E-05  -1.578294E-07  -4.154623E-10  -6.896963E-13   7.107124E-02   2.492987E-05   2.002913E-07   7.877893E-10   1.828995E-12
   0.600   7.989392E-02  -2.448941E-05  -3.145974E-07  -1.206298E-09  -2.928856E-12   6.990453E-02   3.351903E-05   4.012025E-07   2.306771E-09   7.711255E-12
   0.700   8.172248E-02  -3.002607E-05  -5.560607E-07  -2.942531E-09  -9.860537E-12   6.862553E-02   4.196119E-05   7.130213E-07   5.682510E-09   2.593056E-11
   0.800   8.361070E-02  -3.452850E-05  -8.981146E-07  -6.309293E-09  -2.814304E-11   6.727796E-02   4.957526E-05   1.158361E-06   1.232115E-08   7.359840E-11
   0.900   8.548468E-02  -3.744052E-05  -1.351307E-06  -1.224446E-08  -7.031615E-11   6.590765E-02   5.570094E-05   1.753338E-06   2.420849E-08   1.836653E-10
   1.000   8.727310E-02  -3.828114E-05  -1.918922E-06  -2.194007E-08  -1.587540E-10   6.456088E-02   5.974383E-05   2.504533E-06   4.396452E-08   4.133122E-10
   1.100   8.891059E-02  -3.668326E-05  -2.595570E-06  -3.681678E-08  -3.295662E-10   6.328251E-02   6.121977E-05   3.406336E-06   7.484727E-08   8.549937E-10
   1.200   9.034069E-02  -3.242682E-05  -3.366416E-06  -5.846745E-08  -6.377201E-10   6.211420E-02   5.979544E-05   4.438937E-06   1.206955E-07   1.648693E-09
   1.300   9.151842E-02  -2.546320E-05  -4.207150E-06  -8.857239E-08  -1.162608E-09   6.109275E-02   5.532229E-05   5.567173E-06   1.858024E-07   2.994809E-09
   1.400   9.241223E-02  -1.592856E-05  -5.084715E-06  -1.287903E-07  -2.012990E-09   6.024853E-02   4.786057E-05   6.740430E-06   2.747179E-07   5.166657E-09
