 Z= 105 A= 231  Db beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.211684E-02  -3.723801E-16  -5.412337E-16  -6.504820E-16  -1.173002E-15   7.338727E-02  -3.878960E-16  -5.620504E-16  -8.881581E-16  -1.716587E-16
   0.100   7.230479E-02  -6.400163E-08   1.272349E-10   3.750279E-14  -6.565947E-15   7.327036E-02   2.357030E-07  -4.970534E-11  -2.915911E-14  -7.338412E-15
   0.200   7.286084E-02  -2.604097E-07   2.007194E-09   2.342436E-12  -9.012085E-16   7.292366E-02   9.368934E-07  -7.761276E-10  -2.236657E-12  -3.046943E-15
   0.300   7.376195E-02  -6.017218E-07   9.924361E-09   2.621736E-11   3.064109E-14   7.235907E-02   2.085619E-06  -3.770900E-09  -2.509074E-11  -2.816634E-14
   0.400   7.497095E-02  -1.106468E-06   3.034302E-08   1.434030E-10   3.545468E-13   7.159596E-02   3.651354E-06  -1.123345E-08  -1.386675E-10  -2.552852E-13
   0.500   7.643830E-02  -1.796021E-06   7.097460E-08   5.284494E-10   2.070605E-12   7.066055E-02   5.590243E-06  -2.534220E-08  -5.179184E-10  -1.519137E-12
   0.600   7.810437E-02  -2.690613E-06   1.396265E-07   1.512458E-09   8.628685E-12   6.958493E-02   7.844363E-06  -4.747162E-08  -1.506994E-09  -6.377952E-12
   0.700   7.990233E-02  -3.804988E-06   2.429647E-07   3.627241E-09   2.851372E-11   6.840602E-02   1.034124E-05  -7.734435E-08  -3.684715E-09  -2.144178E-11
   0.800   8.176121E-02  -5.144167E-06   3.853330E-07   7.626623E-09   7.934615E-11   6.716418E-02   1.299390E-05  -1.122189E-07  -7.920913E-09  -6.096855E-11
   0.900   8.360927E-02  -6.699776E-06   5.677659E-07   1.447433E-08   1.936560E-10   6.590177E-02   1.570180E-05  -1.462184E-07  -1.541232E-08  -1.522921E-10
   1.000   8.537728E-02  -8.447377E-06   7.873087E-07   2.529321E-08   4.253764E-10   6.466155E-02   1.835266E-05  -1.699014E-07  -2.768687E-08  -3.434892E-10
   1.100   8.700168E-02  -1.034511E-05   1.036733E-06   4.127358E-08   8.573569E-10   6.348513E-02   2.082563E-05  -1.701584E-07  -4.656901E-08  -7.126480E-10
   1.200   8.842746E-02  -1.233389E-05   1.304684E-06   6.354685E-08   1.608187E-09   6.241128E-02   2.299547E-05  -1.304958E-07  -7.409870E-08  -1.379161E-09
   1.300   8.961051E-02  -1.433917E-05   1.576273E-06   9.303371E-08   2.837854E-09   6.147447E-02   2.473799E-05  -3.173557E-08  -1.124033E-07  -2.515928E-09
   1.400   9.051941E-02  -1.627428E-05   1.834060E-06   1.302808E-07   4.750927E-09   6.070353E-02   2.593621E-05   1.468797E-07  -1.635249E-07  -4.361776E-09
   1.500   9.113660E-02  -1.804510E-05   2.059360E-06   1.753033E-07   7.595756E-09   6.012046E-02   2.648714E-05   4.262260E-07  -2.292095E-07  -7.233378E-09
   1.600   9.145873E-02  -1.955571E-05   2.233783E-06   2.274455E-07   1.166136E-08   5.973966E-02   2.630858E-05   8.255766E-07  -3.106765E-07  -1.153281E-08
   1.700   9.149630E-02  -2.071470E-05   2.340862E-06   2.852796E-07   1.726864E-08   5.956738E-02   2.534544E-05   1.360745E-06  -4.083809E-07  -1.775169E-08
   1.800   9.127265E-02  -2.144158E-05   2.367676E-06   3.465477E-07   2.475837E-08   5.960158E-02   2.357513E-05   2.042250E-06  -5.217978E-07  -2.646782E-08
   1.900   9.082214E-02  -2.167290E-05   2.306329E-06   4.081603E-07   3.447507E-08   5.983225E-02   2.101138E-05   2.873674E-06  -6.492478E-07  -3.833297E-08
   2.000   9.018794E-02  -2.136760E-05   2.155180E-06   4.662460E-07   4.675016E-08   6.024195E-02   1.770610E-05   3.850386E-06  -7.877986E-07  -5.404801E-08
   2.100   8.941934E-02  -2.051114E-05   1.919722E-06   5.162640E-07   6.187975E-08   6.080685E-02   1.374903E-05   4.958772E-06  -9.332528E-07  -7.432850E-08
   2.200   8.856876E-02  -1.911811E-05   1.613050E-06   5.531596E-07   8.010577E-08   6.149794E-02   9.264872E-06   6.176113E-06  -1.080257E-06  -9.985306E-08
   2.300   8.768877E-02  -1.723311E-05   1.255825E-06   5.715740E-07   1.015928E-07   6.228256E-02   4.408066E-06   7.471154E-06  -1.222523E-06  -1.312025E-07
   2.400   8.682916E-02  -1.492970E-05   8.757400E-07   5.660904E-07   1.264073E-07   6.312598E-02  -6.446115E-07   8.805398E-06  -1.353178E-06  -1.687848E-07
   2.500   8.603422E-02  -1.230744E-05   5.064371E-07   5.315119E-07   1.544962E-07   6.399307E-02  -5.703247E-06   1.013507E-05  -1.465225E-06  -2.127540E-07
   2.600   8.534055E-02  -9.487168E-06   1.859137E-07   4.631686E-07   1.856676E-07   6.484992E-02  -1.057519E-05   1.141361E-05  -1.552084E-06  -2.629211E-07
   2.700   8.477534E-02  -6.604594E-06  -4.555206E-08   3.572413E-07   2.195680E-07   6.566530E-02  -1.507597E-05   1.259460E-05  -1.608197E-06  -3.186726E-07
   2.800   8.435523E-02  -3.802724E-06  -1.478733E-07   2.110907E-07   2.556672E-07   6.641194E-02  -1.904007E-05   1.363483E-05  -1.629637E-06  -3.788890E-07
   2.900   8.408596E-02  -1.223392E-06  -8.391098E-08   2.357915E-08   2.932409E-07   6.706749E-02  -2.233072E-05   1.449735E-05  -1.614694E-06  -4.418828E-07
   3.000   8.396261E-02   1.001497E-06   1.776395E-07  -2.046288E-07   3.313582E-07   6.761526E-02  -2.484815E-05   1.515428E-05  -1.564371E-06  -5.053571E-07
   3.100   8.397051E-02   2.758498E-06   6.594216E-07  -4.708201E-07   3.688786E-07   6.804457E-02  -2.653572E-05   1.558911E-05  -1.482765E-06  -5.663889E-07
   3.200   8.408676E-02   3.960277E-06   1.372880E-06  -7.700619E-07   4.044576E-07   6.835081E-02  -2.738355E-05   1.579844E-05  -1.377288E-06  -6.214453E-07
   3.300   8.428220E-02   4.551804E-06   2.316250E-06  -1.095143E-06   4.365649E-07   6.853522E-02  -2.742950E-05   1.579293E-05  -1.258705E-06  -6.664374E-07
   3.400   8.452365E-02   4.514540E-06   3.473314E-06  -1.436659E-06   4.635268E-07   6.860442E-02  -2.675739E-05   1.559751E-05  -1.140973E-06  -6.968041E-07
   3.500   8.477637E-02   3.868157E-06   4.813152E-06  -1.783265E-06   4.835835E-07   6.856971E-02  -2.549281E-05   1.525079E-05  -1.040891E-06  -7.076377E-07
   3.600   8.500660E-02   2.669463E-06   6.291045E-06  -2.122128E-06   4.949685E-07   6.844625E-02  -2.379671E-05   1.480376E-05  -9.775552E-07  -6.938437E-07
   3.700   8.518374E-02   1.008421E-06   7.850647E-06  -2.439573E-06   4.960199E-07   6.825212E-02  -2.185737E-05   1.431790E-05  -9.716644E-07  -6.503198E-07
   3.800   8.528247E-02  -9.986483E-07   9.427402E-06  -2.721932E-06   4.853012E-07   6.800730E-02  -1.988111E-05   1.386276E-05  -1.044701E-06  -5.721687E-07
   3.900   8.528419E-02  -3.218336E-06   1.095309E-05  -2.956539E-06   4.617444E-07   6.773269E-02  -1.808259E-05   1.351329E-05  -1.218016E-06  -4.549164E-07
   4.000   8.517807E-02  -5.511337E-06   1.236125E-05  -3.132841E-06   4.248009E-07   6.744906E-02  -1.667490E-05   1.334693E-05  -1.511884E-06  -2.947353E-07
   4.100   8.496138E-02  -7.744726E-06   1.359316E-05  -3.243532E-06   3.745781E-07   6.717615E-02  -1.586031E-05   1.344069E-05  -1.944547E-06  -8.867148E-08
   4.200   8.463925E-02  -9.804404E-06   1.460378E-05  -3.285628E-06   3.119745E-07   6.693165E-02  -1.582177E-05   1.386825E-05  -2.531316E-06   1.651588E-07
   4.300   8.422371E-02  -1.160661E-05   1.536731E-05  -3.261373E-06   2.387696E-07   6.673047E-02  -1.671571E-05   1.469730E-05  -3.283744E-06   4.673853E-07
   4.400   8.373227E-02  -1.310747E-05   1.588165E-05  -3.178862E-06   1.576721E-07   6.658388E-02  -1.866622E-05   1.598694E-05  -4.208919E-06   8.172402E-07
   4.500   8.318595E-02  -1.430953E-05   1.617127E-05  -3.052309E-06   7.231903E-08   6.649883E-02  -2.176076E-05   1.778549E-05  -5.308913E-06   1.212469E-06
   4.600   8.260703E-02  -1.526465E-05   1.628820E-05  -2.901860E-06  -1.280502E-08   6.647743E-02  -2.604739E-05   2.012844E-05  -6.580399E-06   1.649281E-06
   4.700   8.201667E-02  -1.607252E-05   1.631063E-05  -2.752915E-06  -9.250886E-08   6.651644E-02  -3.153347E-05   2.303666E-05  -8.014450E-06   2.122373E-06
   4.800   8.143260E-02  -1.687492E-05   1.633919E-05  -2.634961E-06  -1.611125E-07   6.660705E-02  -3.818569E-05   2.651505E-05  -9.596546E-06   2.625010E-06
   4.900   8.086690E-02  -1.784569E-05   1.649093E-05  -2.579955E-06  -2.127218E-07   6.673474E-02  -4.593133E-05   3.055130E-05  -1.130679E-05   3.149171E-06
   5.000   8.032440E-02  -1.917735E-05   1.689144E-05  -2.620329E-06  -2.415565E-07   6.687944E-02  -5.466053E-05   3.511518E-05  -1.312029E-05   3.685758E-06
   5.100   7.980141E-02  -2.106512E-05   1.766553E-05  -2.786775E-06  -2.422980E-07   6.701593E-02  -6.422950E-05   4.015816E-05  -1.500780E-05   4.224866E-06
   5.200   7.928528E-02  -2.368967E-05   1.892722E-05  -3.105938E-06  -2.104550E-07   6.711449E-02  -7.446458E-05   4.561354E-05  -1.693645E-05   4.756087E-06
   5.300   7.875457E-02  -2.720020E-05   2.076986E-05  -3.598215E-06  -1.426950E-07   6.714187E-02  -8.516688E-05   5.139718E-05  -1.887068E-05   5.268860E-06
   5.400   7.817998E-02  -3.169906E-05   2.325729E-05  -4.275843E-06  -3.713654E-08   6.706244E-02  -9.611767E-05   5.740884E-05  -2.077326E-05   5.752824E-06
   5.500   7.752593E-02  -3.722951E-05   2.641660E-05  -5.141427E-06   1.064332E-07   6.683968E-02  -1.070843E-04   6.353423E-05  -2.260642E-05   6.198174E-06
   5.600   7.675268E-02  -4.376755E-05   3.023345E-05  -6.187075E-06   2.864402E-07   6.643779E-02  -1.178265E-04   6.964778E-05  -2.433297E-05   6.596009E-06
   5.700   7.581887E-02  -5.121880E-05   3.465019E-05  -7.394203E-06   4.995026E-07   6.582333E-02  -1.281033E-04   7.561611E-05  -2.591748E-05   6.938625E-06
   5.800   7.468428E-02  -5.942062E-05   3.956715E-05  -8.734074E-06   7.405232E-07   6.496701E-02  -1.376798E-04   8.130210E-05  -2.732733E-05   7.219768E-06
   5.900   7.331254E-02  -6.814942E-05   4.484693E-05  -1.016903E-05   1.002899E-06   6.384523E-02  -1.463345E-04   8.656944E-05  -2.853376E-05   7.434820E-06
   6.000   7.167371E-02  -7.713265E-05   5.032159E-05  -1.165435E-05   1.278819E-06   6.244150E-02  -1.538662E-04   9.128748E-05  -2.951271E-05   7.580912E-06
