 Z= 106 A= 244  Sg beta2= 0.39 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.550046E-02  -4.654752E-16  -6.245005E-16  -8.005932E-16  -1.230221E-15   6.362419E-02  -3.103168E-16  -5.204170E-16  -5.378986E-16  -3.433175E-16
   0.100   8.546998E-02  -3.061244E-06   2.998091E-08   2.435957E-11   2.431832E-16   6.360635E-02   1.844668E-05   8.909296E-09  -6.401581E-12  -4.291469E-16
   0.200   8.537963E-02  -1.166076E-05   4.764288E-07   1.547753E-09   1.339253E-12   6.355364E-02   7.266481E-05   1.412580E-07  -4.084496E-10  -2.143303E-13
   0.300   8.523270E-02  -2.410799E-05   2.384440E-06   1.741667E-08   3.388871E-11   6.346845E-02   1.593431E-04   7.043141E-07  -4.633455E-09  -5.633583E-12
   0.400   8.503457E-02  -3.778606E-05   7.414936E-06   9.620201E-08   3.317872E-10   6.335462E-02   2.731421E-04   2.178746E-06  -2.588110E-08  -5.693809E-11
   0.500   8.479263E-02  -4.943123E-05   1.772519E-05   3.589938E-07   1.926849E-09   6.321733E-02   4.069557E-04   5.173327E-06  -9.795924E-08  -3.438174E-10
   0.600   8.451607E-02  -5.548354E-05   3.580586E-05   1.043408E-06   8.026064E-09   6.306278E-02   5.522636E-04   1.036525E-05  -2.896091E-07  -1.499097E-09
   0.700   8.421567E-02  -5.247359E-05   6.428003E-05   2.548168E-06   2.653251E-08   6.289798E-02   6.995590E-04   1.842975E-05  -7.213663E-07  -5.218122E-09
   0.800   8.390341E-02  -3.740744E-05   1.056725E-04   5.470904E-06   7.394608E-08   6.273039E-02   8.388348E-04   2.996358E-05  -1.583617E-06  -1.538940E-08
   0.900   8.359211E-02  -8.112580E-06   1.621607E-04   1.063184E-05   1.806516E-07   6.256760E-02   9.601061E-04   4.540782E-05  -3.154099E-06  -3.994801E-08
   1.000   8.329495E-02   3.648695E-05   2.353224E-04   1.907684E-05   3.973005E-07   6.241693E-02   1.053946E-03   6.497590E-05  -5.812728E-06  -9.365606E-08
   1.100   8.302489E-02   9.619121E-05   3.258964E-04   3.205492E-05   8.016731E-07   6.228516E-02   1.112004E-03   8.859300E-05  -1.005134E-05  -2.019599E-07
   1.200   8.279412E-02   1.694554E-04   4.335775E-04   5.096743E-05   1.505121E-06   6.217815E-02   1.127491E-03   1.158528E-04  -1.647583E-05  -4.059607E-07
   1.300   8.261351E-02   2.534363E-04   5.568627E-04   7.728886E-05   2.657510E-06   6.210061E-02   1.095589E-03   1.459966E-04  -2.579837E-05  -7.683658E-07
   1.400   8.249201E-02   3.441480E-04   6.929674E-04   1.124622E-04   4.449527E-06   6.205588E-02   1.013773E-03   1.779194E-04  -3.881777E-05  -1.380067E-06
