 Z= 108 A= 248  Hs beta2= 0.38 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.450308E-02  -4.499593E-16  -6.036838E-16  -9.632137E-16  -3.719273E-16   6.324814E-02  -3.413484E-16  -4.891920E-16  -5.504078E-16  -1.888246E-15
   0.100   8.448088E-02  -8.884494E-06   2.507578E-08   2.184397E-11  -1.316051E-15   6.322779E-02   1.916009E-05   1.002835E-08  -5.601538E-12  -1.148683E-14
   0.200   8.441503E-02  -3.462613E-05   3.987339E-07   1.388533E-09   1.059621E-12   6.316766E-02   7.549268E-05   1.589951E-07  -3.579250E-10  -1.741764E-13
   0.300   8.430785E-02  -7.456909E-05   1.997676E-06   1.563786E-08   2.659895E-11   6.307053E-02   1.656091E-04   7.926975E-07  -4.059707E-09  -4.325171E-12
   0.400   8.416317E-02  -1.245455E-04   6.221128E-06   8.647427E-08   2.609684E-10   6.294085E-02   2.840412E-04   2.451870E-06  -2.267187E-08  -4.397573E-11
   0.500   8.398626E-02  -1.792388E-04   1.489823E-05   3.231509E-07   1.520315E-09   6.278458E-02   4.235036E-04   5.820783E-06  -8.579524E-08  -2.674905E-10
   0.600   8.378379E-02  -2.326461E-04   3.015970E-05   9.408114E-07   6.356688E-09   6.260886E-02   5.752486E-04   1.165928E-05  -2.536043E-07  -1.175943E-09
   0.700   8.356365E-02  -2.785991E-04   5.427638E-05   2.302019E-06   2.110659E-08   6.242172E-02   7.294987E-04   2.072230E-05  -6.316216E-07  -4.129343E-09
   0.800   8.333477E-02  -3.112984E-04   8.947001E-05   4.952914E-06   5.911872E-08   6.223168E-02   8.759407E-04   3.367197E-05  -1.386614E-06  -1.228901E-08
   0.900   8.310682E-02  -3.258169E-04   1.377042E-04   9.647277E-06   1.452332E-07   6.204734E-02   1.004260E-03   5.098848E-05  -2.762170E-06  -3.219120E-08
   1.000   8.288994E-02  -3.185309E-04   2.004673E-04   1.735227E-05   3.213562E-07   6.187699E-02   1.104689E-03   7.288658E-05  -5.092206E-06  -7.614910E-08
   1.100   8.269426E-02  -2.874452E-04   2.785612E-04   2.923081E-05   6.527100E-07   6.172823E-02   1.168547E-03   9.924491E-05  -8.810434E-06  -1.656395E-07
   1.200   8.252952E-02  -2.323900E-04   3.719139E-04   4.659755E-05   1.234081E-06   6.160760E-02   1.188739E-03   1.295554E-04  -1.445367E-05  -3.357364E-07
