 Z= 109 A= 249  Mt beta2= 0.40 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.425493E-02  -4.189276E-16  -7.702172E-16  -3.127317E-16  -2.632101E-15   6.282752E-02  -3.568643E-16  -4.787837E-16  -3.877873E-16  -1.173002E-15
   0.100   8.422396E-02  -6.593989E-06   2.644210E-08   2.279560E-11   4.992409E-15   6.281131E-02   1.755464E-05   1.023684E-08  -4.992124E-12  -5.850703E-15
   0.200   8.413231E-02  -2.566048E-05   4.202960E-07   1.448774E-09   1.209880E-12   6.276346E-02   6.915386E-05   1.623083E-07  -3.189851E-10  -1.032241E-13
   0.300   8.398372E-02  -5.511656E-05   2.104356E-06   1.631472E-08   3.064459E-11   6.268631E-02   1.516534E-04   8.092775E-07  -3.622570E-09  -2.767482E-12
   0.400   8.378434E-02  -9.169680E-05   6.547621E-06   9.020592E-08   3.006628E-10   6.258360E-02   2.599781E-04   2.503406E-06  -2.026519E-08  -2.880727E-11
   0.500   8.354246E-02  -1.312428E-04   1.566302E-05   3.370443E-07   1.751212E-09   6.246033E-02   3.873629E-04   5.943844E-06  -7.685172E-08  -1.802056E-10
   0.600   8.326830E-02  -1.690720E-04   3.166725E-05   9.810870E-07   7.320293E-09   6.232250E-02   5.256801E-04   1.190733E-05  -2.277420E-07  -8.164473E-10
   0.700   8.297362E-02  -2.003926E-04   5.690680E-05   2.400100E-06   2.429947E-08   6.217684E-02   6.658388E-04   2.116591E-05  -5.688391E-07  -2.957072E-09
   0.800   8.267129E-02  -2.207299E-04   9.365684E-05   5.162879E-06   6.804176E-08   6.203047E-02   7.982412E-04   3.439673E-05  -1.252746E-06  -9.074354E-09
   0.900   8.237481E-02  -2.263272E-04   1.439024E-04   1.005413E-05   1.671022E-07   6.189054E-02   9.132789E-04   5.209019E-05  -2.504038E-06  -2.448477E-08
   1.000   8.209776E-02  -2.144885E-04   2.091147E-04   1.808027E-05   3.696291E-07   6.176396E-02   1.001843E-03   7.446321E-05  -4.633054E-06  -5.956673E-08
   1.100   8.185320E-02  -1.838370E-04   2.900368E-04   3.045107E-05   7.505235E-07   6.165699E-02   1.055829E-03   1.013852E-04  -8.046318E-06  -1.330073E-07
   1.200   8.165308E-02  -1.344686E-04   3.864968E-04   4.853380E-05   1.418593E-06   6.157501E-02   1.068603E-03   1.323241E-04  -1.325153E-05  -2.761962E-07
   1.300   8.150770E-02  -6.799058E-05   4.972652E-04   7.377925E-05   2.522695E-06   6.152224E-02   1.035412E-03   1.663186E-04  -2.085502E-05  -5.387360E-07
   1.400   8.142520E-02   1.255543E-05   6.199716E-04   1.076217E-04   4.255742E-06   6.150162E-02   9.537042E-04   2.019830E-04  -3.154980E-05  -9.948296E-07
   1.500   8.141113E-02   1.028801E-04   7.510955E-04   1.513576E-04   6.855448E-06   6.151465E-02   8.233500E-04   2.375470E-04  -4.609281E-05  -1.750058E-06
   1.600   8.146815E-02   1.977273E-04   8.860384E-04   2.060113E-04   1.060087E-05   6.156140E-02   6.467327E-04   2.709312E-04  -6.527065E-05  -2.947817E-06
   1.700   8.159589E-02   2.912292E-04   1.019280E-03   2.721963E-04   1.580410E-05   6.164055E-02   4.287121E-04   2.998566E-04  -8.985415E-05  -4.774454E-06
   1.800   8.179096E-02   3.773109E-04   1.144612E-03   3.499849E-04   2.279686E-05   6.174948E-02   1.764508E-04   3.219824E-04  -1.205432E-04  -7.462045E-06
   1.900   8.204702E-02   4.501169E-04   1.255449E-03   4.387975E-04   3.191229E-05   6.188452E-02  -1.008877E-04   3.350633E-04  -1.579047E-04  -1.128772E-05
   2.000   8.235518E-02   5.044325E-04   1.345176E-03   5.373217E-04   4.346270E-05   6.204110E-02  -3.925576E-04   3.371164E-04  -2.023068E-04  -1.656858E-05
   2.100   8.270432E-02   5.360734E-04   1.407541E-03   6.434733E-04   5.771430E-05   6.221406E-02  -6.867422E-04   3.265844E-04  -2.538559E-04  -2.365165E-05
   2.200   8.308173E-02   5.422175E-04   1.437043E-03   7.544044E-04   7.486070E-05   6.239791E-02  -9.711338E-04   3.024833E-04  -3.123394E-04  -3.289852E-05
   2.300   8.347362E-02   5.216585E-04   1.429299E-03   8.665641E-04   9.499660E-05   6.258711E-02  -1.233547E-03   2.645216E-04  -3.771825E-04  -4.466519E-05
   2.400   8.386582E-02   4.749642E-04   1.381364E-03   9.758112E-04   1.180936E-04   6.277630E-02  -1.462534E-03   2.131807E-04  -4.474221E-04  -5.927798E-05
   2.500   8.424442E-02   4.045260E-04   1.291983E-03   1.077577E-03   1.439795E-04   6.296057E-02  -1.647965E-03   1.497494E-04  -5.217035E-04  -7.700691E-05
   2.600   8.459639E-02   3.144945E-04   1.161750E-03   1.167069E-03   1.723234E-04   6.313565E-02  -1.781541E-03   7.630712E-05  -5.983022E-04  -9.803870E-05
   2.700   8.491013E-02   2.105993E-04   9.931804E-04   1.239509E-03   2.026260E-04   6.329804E-02  -1.857219E-03  -4.343620E-06  -6.751704E-04  -1.224514E-04
   2.800   8.517597E-02   9.986089E-05   7.906645E-04   1.290388E-03   2.342181E-04   6.344515E-02  -1.871507E-03  -8.879280E-05  -7.500097E-04  -1.501931E-04
   2.900   8.538648E-02  -9.794120E-06   5.603319E-04   1.315732E-03   2.662659E-04   6.357538E-02  -1.823642E-03  -1.731805E-04  -8.203629E-04  -1.810669E-04
   3.000   8.553680E-02  -1.099934E-04   3.098152E-04   1.312348E-03   2.977851E-04   6.368807E-02  -1.715620E-03  -2.533873E-04  -8.837215E-04  -2.147238E-04
   3.100   8.562470E-02  -1.924294E-04   4.793250E-05   1.278059E-03   3.276622E-04   6.378357E-02  -1.552080E-03  -3.252474E-04  -9.376412E-04  -2.506641E-04
   3.200   8.565062E-02  -2.493881E-04  -2.156958E-04   1.211894E-03   3.546846E-04   6.386314E-02  -1.340067E-03  -3.847736E-04  -9.798571E-04  -2.882493E-04
   3.300   8.561750E-02  -2.742614E-04  -4.710805E-04   1.114226E-03   3.775778E-04   6.392883E-02  -1.088662E-03  -4.283826E-04  -1.008389E-03  -3.267215E-04
   3.400   8.553057E-02  -2.620035E-04  -7.083272E-04   9.868629E-04   3.950509E-04   6.398339E-02  -8.085146E-04  -4.531124E-04  -1.021634E-03  -3.652310E-04
   3.500   8.539697E-02  -2.094958E-04  -9.181103E-04   8.330591E-04   4.058490E-04   6.403005E-02  -5.112919E-04  -4.568206E-04  -1.018432E-03  -4.028694E-04
   3.600   8.522533E-02  -1.157848E-04  -1.092141E-03   6.574687E-04   4.088118E-04   6.407235E-02  -2.090720E-04  -4.383586E-04  -9.981119E-04  -4.387047E-04
   3.700   8.502518E-02   1.783488E-05  -1.223608E-03   4.660211E-04   4.029377E-04   6.411386E-02   8.629418E-05  -3.977121E-04  -9.605041E-04  -4.718171E-04
   3.800   8.480638E-02   1.879117E-04  -1.307576E-03   2.657296E-04   3.874515E-04   6.415788E-02   3.638240E-04  -3.361044E-04  -9.059355E-04  -5.013306E-04
   3.900   8.457843E-02   3.891084E-04  -1.341325E-03   6.443315E-05   3.618731E-04   6.420716E-02   6.140196E-04  -2.560546E-04  -8.351985E-04  -5.264399E-04
   4.000   8.434984E-02   6.146474E-04  -1.324601E-03  -1.295211E-04   3.260830E-04   6.426359E-02   8.294337E-04  -1.613851E-04  -7.495081E-04  -5.464289E-04
   4.100   8.412741E-02   8.569075E-04  -1.259780E-03  -3.076450E-04   2.803817E-04   6.432780E-02   1.005158E-03  -5.717290E-05  -6.504522E-04  -5.606814E-04
   4.200   8.391563E-02   1.108135E-03  -1.151912E-03  -4.617137E-04   2.255363E-04   6.439889E-02   1.139211E-03   5.036290E-05  -5.399427E-04  -5.686828E-04
   4.300   8.371610E-02   1.361221E-03  -1.008636E-03  -5.841921E-04   1.628090E-04   6.447417E-02   1.232800E-03   1.540400E-04  -4.201739E-04  -5.700155E-04
   4.400   8.352714E-02   1.610482E-03  -8.399475E-04  -6.686641E-04   9.396174E-05   6.454888E-02   1.290443E-03   2.459629E-04  -2.935931E-04  -5.643497E-04
   4.500   8.334347E-02   1.852383E-03  -6.578329E-04  -7.102425E-04   2.123038E-05   6.461610E-02   1.319932E-03   3.178428E-04  -1.628853E-04  -5.514325E-04
   4.600   8.315611E-02   2.086135E-03  -4.757430E-04  -7.059356E-04  -5.273508E-05   6.466669E-02   1.332134E-03   3.613818E-04  -3.096906E-05  -5.310812E-04
   4.700   8.295250E-02   2.314109E-03  -3.079433E-04  -6.549458E-04  -1.249673E-04   6.468939E-02   1.340623E-03   3.687116E-04   9.899994E-05  -5.031817E-04
   4.800   8.271683E-02   2.542022E-03  -1.687508E-04  -5.588727E-04  -1.923146E-04   6.467105E-02   1.361152E-03   3.328687E-04   2.236274E-04  -4.676968E-04
   4.900   8.243057E-02   2.778858E-03  -7.169626E-05  -4.217993E-04  -2.516074E-04   6.459697E-02   1.410982E-03   2.482833E-04   3.392902E-04  -4.246869E-04
   5.000   8.207317E-02   3.036516E-03  -2.865763E-05  -2.502420E-04  -2.998488E-04   6.445136E-02   1.508093E-03   1.112533E-04   4.421687E-04  -3.743411E-04
   5.100   8.162301E-02   3.329200E-03  -4.901717E-05  -5.295201E-05  -3.344204E-04   6.421797E-02   1.670309E-03  -7.963077E-05   5.283120E-04  -3.170190E-04
   5.200   8.105837E-02   3.672576E-03  -1.389027E-04   1.594335E-04  -3.532865E-04   6.388067E-02   1.914371E-03  -3.231436E-04   5.937418E-04  -2.532977E-04
   5.300   8.035846E-02   4.082750E-03  -3.005718E-04   3.748830E-04  -3.551821E-04   6.342423E-02   2.255030E-03  -6.151988E-04   6.346010E-04  -1.840196E-04
   5.400   7.950451E-02   4.575139E-03  -5.319941E-04   5.805842E-04  -3.397650E-04   6.283497E-02   2.704165E-03  -9.487695E-04   6.473420E-04  -1.103317E-04
   5.500   7.848068E-02   5.163304E-03  -8.266763E-04   7.636491E-04  -3.077174E-04   6.210140E-02   3.270026E-03  -1.313975E-03   6.289481E-04  -3.371132E-05
   5.600   7.727490E-02   5.857839E-03  -1.173760E-03   9.118680E-04  -2.607805E-04   6.121482E-02   3.956606E-03  -1.698348E-03   5.771743E-04   4.403205E-05
   5.700   7.587947E-02   6.665373E-03  -1.558406E-03   1.014462E-03  -2.017154E-04   6.016973E-02   4.763198E-03  -2.087276E-03   4.907878E-04   1.207825E-04
   5.800   7.429146E-02   7.587786E-03  -1.962445E-03   1.062784E-03  -1.341840E-04   5.896414E-02   5.684169E-03  -2.464613E-03   3.697858E-04   1.941763E-04
   5.900   7.251283E-02   8.621655E-03  -2.365285E-03   1.050911E-03  -6.255567E-05   5.759969E-02   6.708957E-03  -2.813417E-03   2.155690E-04   2.616924E-04
   6.000   7.055027E-02   9.758011E-03  -2.745000E-03   9.760836E-04   8.351662E-06   5.608157E-02   7.822302E-03  -3.116788E-03   3.104522E-05   3.207735E-04
   6.100   6.841494E-02   1.098239E-02  -3.079546E-03   8.389547E-04   7.357696E-05   5.441835E-02   9.004696E-03  -3.358755E-03  -1.793518E-04   3.689680E-04
   6.200   6.612180E-02   1.227518E-02  -3.348022E-03   6.436189E-04   1.283469E-04   5.262159E-02   1.023304E-02  -3.525143E-03  -4.097432E-04   4.040862E-04
   6.300   6.368896E-02   1.361229E-02  -3.531898E-03   3.974215E-04   1.684053E-04   5.070535E-02   1.148146E-02  -3.604382E-03  -6.529886E-04   4.243550E-04
   6.400   6.113689E-02   1.496601E-02  -3.616107E-03   1.105515E-04   1.903142E-04   4.868567E-02   1.272227E-02  -3.588190E-03  -9.009673E-04   4.285593E-04
   6.500   5.848751E-02   1.630609E-02  -3.589957E-03  -2.045517E-04   1.917019E-04   4.657995E-02   1.392695E-02  -3.472087E-03  -1.144944E-03   4.161556E-04
   6.600   5.576343E-02   1.760096E-02  -3.447767E-03  -5.339372E-04   1.714358E-04   4.440632E-02   1.506728E-02  -3.255702E-03  -1.375998E-03   3.873476E-04
   6.700   5.298717E-02   1.881898E-02  -3.189220E-03  -8.629726E-04   1.297066E-04   4.218311E-02   1.611627E-02  -2.942861E-03  -1.585482E-03   3.431120E-04
   6.800   5.018051E-02   1.992972E-02  -2.819383E-03  -1.177206E-03   6.801604E-05   3.992833E-02   1.704923E-02  -2.541432E-03  -1.765484E-03   2.851734E-04
   6.900   4.736397E-02   2.090514E-02  -2.348422E-03  -1.463196E-03  -1.093072E-05   3.765925E-02   1.784454E-02  -2.062950E-03  -1.909259E-03   2.159258E-04
   7.000   4.455648E-02   2.172067E-02  -1.791014E-03  -1.709254E-03  -1.034167E-04   3.539206E-02   1.848438E-02  -1.522049E-03  -2.011591E-03   1.383062E-04
   7.100   4.177512E-02   2.235610E-02  -1.165527E-03  -1.906048E-03  -2.049735E-04   3.314169E-02   1.895530E-02  -9.357255E-04  -2.069066E-03   5.562985E-05
   7.200   3.903507E-02   2.279629E-02  -4.930040E-04  -2.047029E-03  -3.106871E-04   3.092162E-02   1.924854E-02  -3.225008E-04  -2.080235E-03  -2.860024E-05
   7.300   3.634962E-02   2.303159E-02   2.039586E-04  -2.128666E-03  -4.155237E-04   2.874388E-02   1.936017E-02   2.984823E-04  -2.045655E-03  -1.108955E-04
   7.400   3.373027E-02   2.305810E-02   9.023781E-04  -2.150468E-03  -5.146499E-04   2.661909E-02   1.929112E-02   9.083573E-04  -1.967813E-03  -1.879791E-04
   7.500   3.118696E-02   2.287760E-02   1.580012E-03  -2.114825E-03  -6.037219E-04   2.455646E-02   1.904689E-02   1.489381E-03  -1.850927E-03  -2.569638E-04
   7.600   2.872817E-02   2.249734E-02   2.216383E-03  -2.026673E-03  -6.791252E-04   2.256398E-02   1.863723E-02   2.025680E-03  -1.700662E-03  -3.154976E-04
   7.700   2.636120E-02   2.192952E-02   2.793649E-03  -1.893032E-03  -7.381471E-04   2.064845E-02   1.807560E-02   2.503858E-03  -1.523772E-03  -3.618684E-04
   7.800   2.409227E-02   2.119073E-02   3.297268E-03  -1.722446E-03  -7.790769E-04   1.881567E-02   1.737856E-02   2.913434E-03  -1.327691E-03  -3.950603E-04
   7.900   2.192671E-02   2.030110E-02   3.716440E-03  -1.524391E-03  -8.012297E-04   1.707043E-02   1.656505E-02   3.247109E-03  -1.120123E-03  -4.147620E-04
   8.000   1.986901E-02   1.928352E-02   4.044318E-03  -1.308673E-03  -8.049001E-04   1.541666E-02   1.565568E-02   3.500842E-03  -9.086320E-04  -4.213295E-04
   8.100   1.792288E-02   1.816265E-02   4.277993E-03  -1.084872E-03  -7.912551E-04   1.385743E-02   1.467197E-02   3.673762E-03  -7.002852E-04  -4.157085E-04
   8.200   1.609124E-02   1.696406E-02   4.418271E-03  -8.618608E-04  -7.621806E-04   1.239500E-02   1.363560E-02   3.767924E-03  -5.013482E-04  -3.993265E-04
   8.300   1.437621E-02   1.571332E-02   4.469285E-03  -6.474180E-04  -7.200977E-04   1.103078E-02   1.256777E-02   3.787943E-03  -3.170577E-04  -3.739652E-04
   8.400   1.277907E-02   1.443521E-02   4.437976E-03  -4.479611E-04  -6.677655E-04   9.765379E-03   1.148858E-02   3.740543E-03  -1.514766E-04  -3.416231E-04
   8.500   1.130017E-02   1.315297E-02   4.333484E-03  -2.683880E-04  -6.080866E-04   8.598543E-03   1.041652E-02   3.634043E-03  -7.430281E-06  -3.043811E-04
   8.600   9.938916E-03   1.188776E-02   4.166501E-03  -1.120342E-04  -5.439283E-04   7.529199E-03   9.368059E-03   3.477828E-03   1.134787E-04  -2.642776E-04
   8.700   8.693752E-03   1.065816E-02   3.948626E-03   1.927293E-05  -4.779714E-04   6.555444E-03   8.357379E-03   3.281834E-03   2.107902E-04  -2.232040E-04
   8.800   7.562130E-03   9.479912E-03   3.691754E-03   1.250787E-04  -4.125915E-04   5.674577E-03   7.396184E-03   3.056061E-03   2.850516E-04  -1.828220E-04
   8.900   6.540558E-03   8.365708E-03   3.407536E-03   2.061064E-04  -3.497780E-04   4.883156E-03   6.493633E-03   2.810158E-03   3.376469E-04  -1.445078E-04
   9.000   5.624655E-03   7.325190E-03   3.106919E-03   2.640248E-04  -2.910905E-04   4.177063E-03   5.656381E-03   2.553081E-03   3.706032E-04  -1.093221E-04
   9.100   4.809246E-03   6.365025E-03   2.799801E-03   3.011998E-04  -2.376476E-04   3.551595E-03   4.888700E-03   2.292826E-03   3.863921E-04  -7.800438E-05
   9.200   4.088478E-03   5.489097E-03   2.494775E-03   3.204494E-04  -1.901463E-04   3.001579E-03   4.192667E-03   2.036257E-03   3.877380E-04  -5.098764E-05
   9.300   3.455963E-03   4.698776E-03   2.198991E-03   3.248158E-04  -1.489027E-04   2.521481E-03   3.568414E-03   1.789011E-03   3.774451E-04  -2.842962E-05
   9.400   2.904925E-03   3.993242E-03   1.918097E-03   3.173686E-04  -1.139089E-04   2.105536E-03   3.014414E-03   1.555475E-03   3.582497E-04  -1.025529E-05
   9.500   2.428360E-03   3.369848E-03   1.656276E-03   3.010441E-04  -8.489776E-05   1.747873E-03   2.527780E-03   1.338830E-03   3.327037E-04   3.794413E-06
   9.600   2.019189E-03   2.824489E-03   1.416337E-03   2.785247E-04  -6.141109E-05   1.442633E-03   2.104568E-03   1.141140E-03   3.030893E-04   1.411194E-05
   9.700   1.670402E-03   2.351974E-03   1.199856E-03   2.521584E-04  -4.286418E-05   1.184077E-03   1.740079E-03   9.634782E-04   2.713661E-04   2.117457E-05
   9.800   1.375187E-03   1.946371E-03   1.007355E-03   2.239142E-04  -2.860440E-05   9.666877E-04   1.429125E-03   8.060779E-04   2.391459E-04   2.550069E-05
   9.900   1.127042E-03   1.601319E-03   8.384914E-04   1.953702E-04  -1.796037E-05   7.852408E-04   1.166274E-03   6.684887E-04   2.076921E-04   2.761297E-05
  10.000   9.198568E-04   1.310304E-03   6.922464E-04   1.677261E-04  -1.028090E-05   6.348729E-04   9.460616E-04   5.497358E-04   1.779382E-04   2.800941E-05
  10.100   7.479835E-04   1.066884E-03   5.671128E-04   1.418348E-04  -4.963176E-06   5.111216E-04   7.631550E-04   4.484693E-04   1.505198E-04   2.714259E-05
  10.200   6.062751E-04   8.648666E-04   4.612603E-04   1.182468E-04  -1.471106E-06   4.099514E-04   6.124883E-04   3.630991E-04   1.258161E-04   2.540648E-05
  10.300   4.901074E-04   6.984466E-04   3.726803E-04   9.725986E-05   6.551658E-07   3.277630E-04   4.893568E-04   2.919101E-04   1.039953E-04   2.313012E-05
  10.400   3.953810E-04   5.622937E-04   2.993055E-04   7.897177E-05   1.796834E-06   2.613887E-04   3.894786E-04   2.331577E-04   8.505995E-05   2.057682E-05
  10.500   3.185082E-04   4.516066E-04   2.391043E-04   6.332982E-05   2.259438E-06   2.080761E-04   3.090271E-04   1.851412E-04   6.889061E-05   1.794762E-05
  10.600   2.563868E-04   3.621347E-04   1.901501E-04   5.017599E-05   2.279598E-06   1.654633E-04   2.446400E-04   1.462585E-04   5.528448E-05   1.538763E-05
  10.700   2.063660E-04   2.901737E-04   1.506684E-04   3.928551E-05   2.033968E-06   1.315467E-04   1.934081E-04   1.150416E-04   4.398831E-05   1.299412E-05
  10.800   1.662048E-04   2.325420E-04   1.190649E-04   3.039824E-05   1.649157E-06   1.046465E-04   1.528512E-04   9.017756E-05   3.472516E-05   1.082529E-05
  10.900   1.340289E-04   1.865436E-04   9.393745E-05   2.324298E-05   1.211627E-06   8.336927E-05   1.208826E-04   7.051656E-05   2.721475E-05   8.908939E-06
